contract,initial_date,final_date
F0,2019-11-17,2019-12-13
G0,2019-12-15,2020-01-17
H0,2020-01-19,2020-02-14
J0,2020-02-16,2020-03-13
K0,2020-03-15,2020-04-17
M0,2020-04-19,2020-05-15
N0,2020-05-17,2020-06-19
Q0,2020-06-21,2020-07-17
U0,2020-07-19,2020-08-14
V0,2020-08-16,2020-09-18
X0,2020-09-20,2020-10-16
Z0,2020-10-18,2020-11-13
F1,2020-11-15,2020-12-18
G1,2020-12-20,2021-01-15
H1,2021-01-17,2021-02-19
J1,2021-02-21,2021-03-19
K1,2021-03-21,2021-04-16
M1,2021-04-18,2021-05-14
N1,2021-05-16,2021-06-18
Q1,2021-06-20,2021-07-16
U1,2021-07-18,2021-08-13
V1,2021-08-15,2021-09-17
X1,2021-09-19,2021-10-15
Z1,2021-10-17,2021-11-12
F2,2021-11-14,2021-12-17
G2,2021-12-19,2022-01-14
H2,2022-01-16,2022-02-18
J2,2022-02-20,2022-03-18
K2,2022-03-20,2022-04-15
M2,2022-04-17,2022-05-13
N2,2022-05-15,2022-06-17
Q2,2022-06-19,2022-07-15
U2,2022-07-17,2022-08-19
V2,2022-08-21,2022-09-16
X2,2022-09-18,2022-10-14
Z2,2022-10-16,2022-11-18
