contract,initial_date,final_date
ETHN0,2020-06-21,2019-07-24
ETHQ0,2020-07-26,2020-08-21
ETHU0,2020-08-23,2020-09-18
ETHV0,2020-09-20,2020-10-23
ETHX0,2020-10-25,2020-11-20
ETHZ0,2020-11-22,2020-12-18
ETHF1,2020-12-20,2021-01-22
ETHG1,2021-01-24,2021-02-19
ETHH1,2021-02-21,2021-03-19
ETHJ1,2021-03-21,2021-04-23
ETHK1,2021-04-25,2021-05-21
ETHM1,2021-05-23,2021-06-18
ETHN1,2021-06-20,2021-07-23
ETHQ1,2021-07-25,2021-08-20
ETHU1,2021-08-22,2021-09-17
ETHV1,2021-09-19,2021-10-22
ETHX1,2021-10-24,2021-11-19
ETHZ1,2021-11-21,2021-12-24
ETHF2,2021-12-26,2022-01-21
ETHG2,2022-01-23,2022-02-18
ETHH2,2022-02-20,2022-03-18
ETHJ2,2022-03-20,2022-04-22
ETHK2,2022-04-24,2022-05-20
ETHM2,2022-05-22,2022-06-17
ETHN2,2022-06-19,2022-07-22
ETHQ2,2022-07-24,2022-08-19
ETHU2,2022-08-21,2022-09-23
ETHV2,2022-09-25,2022-10-21
ETHX2,2022-10-23,2022-11-18
ETHZ2,2022-11-20,2022-12-23
