contract,initial_date,final_date
GCG0,2019-11-24,2020-01-24
GCJ0,2020-01-26,2020-03-27
GCM0,2020-03-29,2020-05-22
GCQ0,2020-05-24,2020-07-24
GCZ0,2020-07-26,2020-11-27
GCG1,2020-11-29,2021-01-22
GCJ1,2021-01-24,2021-03-26
GCM1,2021-03-28,2021-05-28
GCQ1,2021-05-30,2021-07-23
GCZ1,2021-07-25,2021-11-26
GCG2,2021-11-28,2022-01-28
GCJ2,2022-01-30,2022-03-25
GCM2,2022-03-27,2022-05-27
GCQ2,2022-05-29,2022-07-22
GCZ2,2022-07-24,2022-11-25
GCG3,2022-11-27,2023-01-27
GCJ3,2023-01-29,2023-03-24
GCM3,2023-03-26,2023-05-26
GCQ3,2023-05-28,2023-07-28
GCZ3,2023-07-30,2023-11-24
GCG4,2023-11-26,2024-01-26
