contract,initial_date,final_date
MBTN0,2020-06-21,2019-07-24
MBTQ0,2020-07-26,2020-08-21
MBTU0,2020-08-23,2020-09-18
MBTV0,2020-09-20,2020-10-23
MBTX0,2020-10-25,2020-11-20
MBTZ0,2020-11-22,2020-12-18
MBTF1,2020-12-20,2021-01-22
MBTG1,2021-01-24,2021-02-19
MBTH1,2021-02-21,2021-03-19
MBTJ1,2021-03-21,2021-04-23
MBTK1,2021-04-25,2021-05-21
MBTM1,2021-05-23,2021-06-18
MBTN1,2021-06-20,2021-07-23
MBTQ1,2021-07-25,2021-08-20
MBTU1,2021-08-22,2021-09-17
MBTV1,2021-09-19,2021-10-22
MBTX1,2021-10-24,2021-11-19
MBTZ1,2021-11-21,2021-12-24
MBTF2,2021-12-26,2022-01-21
MBTG2,2022-01-23,2022-02-18
MBTH2,2022-02-20,2022-03-18
MBTJ2,2022-03-20,2022-04-22
MBTK2,2022-04-24,2022-05-20
MBTM2,2022-05-22,2022-06-17
MBTN2,2022-06-19,2022-07-22
MBTQ2,2022-07-24,2022-08-19
MBTU2,2022-08-21,2022-09-23
MBTV2,2022-09-25,2022-10-21
MBTX2,2022-10-23,2022-11-18
MBTZ2,2022-11-20,2022-12-23
