contract,initial_date,final_date
NGF0,2019-11-24,2019-12-20
NGG0,2019-12-22,2020-01-24
NGH0,2020-01-26,2020-02-21
NGJ0,2020-02-23,2020-03-20
NGK0,2020-03-22,2020-04-24
NGM0,2020-04-26,2020-05-22
NGN0,2020-05-24,2020-06-19
NGQ0,2020-06-21,2020-07-24
NGU0,2020-07-26,2020-08-21
NGV0,2020-08-23,2020-09-25
NGX0,2020-09-27,2020-10-23
NGZ0,2020-10-25,2020-11-20
NGF1,2020-11-22,2020-12-25
NGG1,2020-12-27,2021-01-22
NGH1,2021-01-24,2021-02-19
NGJ1,2021-02-21,2021-03-26
NGK1,2021-03-28,2021-04-23
NGM1,2021-04-25,2021-05-21
NGN1,2021-05-23,2021-06-25
NGQ1,2021-06-27,2021-07-23
NGU1,2021-07-25,2021-08-20
NGV1,2021-08-22,2021-09-24
NGX1,2021-09-26,2021-10-22
NGZ1,2021-10-24,2021-11-19
NGF2,2021-11-21,2021-12-24
NGG2,2021-12-26,2022-01-21
NGH2,2022-01-23,2022-02-18
NGJ2,2022-02-20,2022-03-25
NGK2,2022-03-27,2022-04-22
NGM2,2022-04-24,2022-05-20
NGN2,2022-05-22,2022-06-24
NGQ2,2022-06-26,2022-07-22
NGU2,2022-07-24,2022-08-26
NGV2,2022-08-28,2022-09-23
NGX2,2022-09-25,2022-10-21
NGZ2,2022-10-23,2022-11-25
