contract,initial_date,final_date
PLF0,2019-09-29,2019-12-27
PLJ0,2019-12-29,2020-03-27
PLN0,2020-03-29,2020-06-26
PLV0,2020-06-28,2020-09-25
PLF1,2020-09-27,2020-12-25
PLJ1,2020-12-27,2021-03-26
PLN1,2021-03-28,2021-06-25
PLV1,2021-06-27,2021-09-24
PLF2,2021-09-26,2021-12-24
PLJ2,2021-12-26,2022-03-25
PLN2,2022-03-27,2022-06-24
PLV2,2022-06-26,2022-09-23
PLF3,2022-09-25,2022-12-23
PLJ3,2022-12-25,2023-03-24
PLN3,2023-03-26,2023-06-23
PLV3,2023-06-25,2023-09-22
PLF4,2023-09-24,2023-12-22
