contract,initial_date,final_date
QIH0,2019-11-22,2020-02-21
QIK0,2020-02-23,2020-04-24
QIN0,2020-04-26,2020-06-19
QIU0,2020-06-21,2020-08-21
QIZ0,2020-08-23,2020-11-20
QIH1,2020-11-22,2021-02-19
QIK1,2021-02-21,2021-04-23
QIN1,2021-04-25,2021-06-25
QIU1,2021-06-27,2021-08-20
QIZ1,2021-08-22,2021-11-19
QIH2,2021-11-21,2022-02-18
QIK2,2022-02-20,2022-04-22
QIN2,2022-04-24,2022-06-24
QIU2,2022-06-26,2022-08-26
QIZ2,2022-08-28,2022-11-25
QIH3,2022-11-27,2023-02-17
QIK3,2023-02-19,2023-04-21
QIN3,2023-04-23,2023-06-23
QIU3,2023-06-25,2023-08-25
QIZ3,2023-08-27,2023-11-24
QIH4,2023-11-26,2024-02-23
