contract,initial_date,final_date
SILH0,2019-11-24,2020-02-21
SILK0,2020-02-23,2020-04-24
SILN0,2020-04-24,2020-06-26
SILU0,2020-06-28,2020-08-28
SILZ0,2020-08-30,2020-11-27
SILH1,2020-11-29,2021-02-19
SILK1,2021-02-21,2021-04-23
SILN1,2021-04-25,2021-06-25
SILU1,2021-06-27,2021-08-27
SILZ1,2021-08-29,2021-11-26
SILH2,2021-11-28,2022-02-25
SILK2,2022-02-27,2022-04-22
SILN2,2022-04-24,2022-06-24
SILU2,2022-06-26,2022-08-26
SILZ2,2022-08-28,2022-11-25
SILH3,2022-11-27,2023-02-24
SILK3,2023-02-26,2023-04-28
SILN3,2023-04-30,2023-06-23
SILU3,2023-06-25,2023-08-25
SILZ3,2023-08-27,2023-11-24
SILH4,2023-11-26,2024-02-23
