contract,initial_date,final_date
JAN 20,2019-10-27,2019-12-27
MAR 20,2019-12-27,2020-02-21
MAY 20,2020-02-21,2020-04-24
JUL 20,2020-04-26,2020-06-26
NOV 20,2020-06-28,2020-10-23
JAN 21,2020-10-25,2020-12-25
MAR 21,2020-12-27,2021-02-19
MAY 21,2021-02-21,2021-04-23
JUL 21,2021-04-25,2021-06-25
NOV 21,2021-06-27,2021-10-22
JAN 22,2021-10-24,2021-12-24
MAR 22,2021-12-26,2022-02-25
MAY 22,2022-02-27,2022-04-22
JUL 22,2022-04-24,2022-06-24
NOV 22,2022-06-26,2022-10-28
JAN 23,2022-10-30,2022-12-23
MAR 23,2022-12-25,2023-02-24
MAY 23,2023-02-26,2023-04-28
JUL 23,2023-04-30,2023-06-23
NOV 23,2023-06-25,2023-10-27
JAN 24,2023-10-29,2023-12-22
