contract,initial_date,final_date
MAR 20,2019-12-15,2020-03-13
JUN 20,2020-03-15,2020-06-12
SEP 20,2020-06-14,2020-09-11
DEC 20,2020-09-13,2020-12-11
MAR 21,2020-12-13,2021-03-12
JUN 21,2021-03-14,2021-06-11
SEP 21,2021-06-13,2021-09-10
DEC 21,2021-09-12,2021-12-10
MAR 22,2021-12-12,2022-03-11
JUN 22,2022-03-13,2022-06-10
SEP 22,2022-06-12,2022-09-09
DEC 22,2022-09-11,2022-12-09
MAR 23,2022-12-11,2023-03-10
JUN 23,2023-03-12,2023-06-09
SEP 23,2023-06-11,2023-09-08
DEC 23,2023-09-10,2023-12-08
