contract,initial_date,final_date
AUG 21,2021-08-16,2021-08-31
SEP 21,2021-08-16,2021-09-30
OCT 21,2021-09-01,2021-10-29
NOV 22, 2022-11-01,2022-11-30
DEC 22, 2022-12-01, 2022-12-31
JAN 23,2023-01-03,2023-01-31
FEB 23,2023-02-01,2023-02-28
MAR 23,2023-03-01,2023-03-31
APR 23,2023-04-01,2023-04-30
MAY 23,2023-05-01,2023-05-31
JUN 23,2023-06-01,2023-06-30
JUL 23,2023-07-01,2023-07-31
AUG 23,2023-08-01,2023-08-31
SEP 23,2023-09-01,2023-09-30
OCT 23,2023-10-01,2023-10-31
NOV 23,2023-11-01,2023-11-30
DEC 23,2023-12-01,2023-12-31
